Site,Aloacc,Alopul,Antele,Arahum,Arcleo,Arcmar,Arcper,Batapp,Batgra,Batnig,Bolalt,Brilat,Cerbre,Cerpro,Clufri,Clulut,Cluphr,Clurec,Clusub,Cryrip,Dicunc,Dicnig,Dictib,Dipcri,Diplat,Dipcon,Disbif,Dralut,Drapus,Dyshun,Epiang,Eriden,Evaarc,Gnaden,Gonmur,Gonruf,Hahnav,Hahpus,Hapmin,Helaur,Hylnig,Hypbit,Hypher,Leprob,Liostr,Manaca,Massun,Metasc,Micful,Micpul,Microm,Micsub,Micvia,Mistri,Nemsan,Neoret,Neobim,Nercla,Nermon,Nescel,Oedagr,Oedapi,Oedfus,Oedret,Oxyram,Ozypra,Paccle,Pacdeg,Paclis,Paragr1,Paragr2,Parala,Parame,Parhor,Parlug,Parpal,Parpra,Parpro,Parpul,Parsph,Phrcor,Phrfes,Pirpir,Pirhyg,Pirins,Pirknor,Pirlat,Pismir,Platin,Pocjun,Pormic,Privag,Robliv,Robneg,Rugins,Sibaur,Sinham,Sinnit,Synhil,Synven,Talexp,Tenfla,Tenmen,Tenten,Tetext,Tetmon,Tetobt,Thafor,Thegem,Trorur,Trospi,Walant,Xysace,Xyscris,Xyskoc,Xysulm,Zorspi
A,0,0,0,0,1,4,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,9,3,0,0,0,2,0,0,0,0,0,62,0,0,11,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0
B,0,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,3,0,87,0,0,9,4,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,1,1,0
C,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
E,0,0,0,0,0,16,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0
F,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,6,1,0,0,3,1,4,0,1,0,1,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,2,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,2,0,0,0,0,1,0,0,2,0,0,8,0,0,0,0,0,0,0,0
H,0,2,0,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,26,0,0,2,3,1,0,0,0,0,0,2,0,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
I,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,2,0,2,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0
K,0,0,0,0,0,4,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,0,0,0,0,0,0,0,0
L,0,1,0,1,0,3,0,0,0,6,0,0,2,0,0,3,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,11,1,1,1,0,0,0,0,3,0,0,0,50,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,0,0,0,0,0,0,0
N,1,6,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,13,1,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,9,0,2,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
O,0,4,1,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1
P,0,0,6,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,1,4,0,0,0,0,0,47,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,0,0,0,0
Q,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,1,0,1,0,0,0,0
R,0,13,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,6,0,1,0,0,0,0,16,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,4,3,0,0,0,0,78,0,0,3,9,0,1,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
S,0,0,0,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,3,0,0,2,1,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0
T,0,0,0,1,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,11,0,2,0,0,0,0,0,0
