site,Comp.1,Comp.2,shading,max_sumTU_ms_corr,max_sumTU_ms,ind,spe,CWM.mKLw,CWM.ShaPosS,CWM.MoisPosS,CWM.Ballon1,CWM.Niche,CWM.web1,no3,po4,totalarea,shore_cover_meadow
A,-0.782748437310526,0.58078654836219,0,-1.058721093,-1.0327580179,137,25,5.6029411765,0.3210606061,0.2662878788,0.6204379562,0.2251937984,-0.605839416058394,0.5,0.2,29217707.218614,42.5
B,-2.60331449586261,-0.874606576723956,0,-1.349175945,-1.3491473003,161,28,6.7145962733,0.3129166667,0.3015972222,0.5776397516,0.2383333333,-0.850931677018634,0.5,0.1,102275714.782073,20
C,1.45088400035219,2.48286633565843,80,-0.813543087,0.0467777832,68,21,5.2294117647,0.3447692308,0.2969230769,0.5882352941,0.24484375,-0.442622950819672,1.9,0.4,7624182.834403,47.5
E,-1.9579766594302,-0.226967771296975,70,-0.407334887,-0.3907198827,102,15,5.6142156863,0.3569767442,0.2338372093,-0.0784313725,0.2190666667,-0.196078431372549,0.5,0.4,689473.939153,7.5
F,-0.925061303610227,-0.352802726236864,90,-0.513750434,-0.4647485063,70,22,6.2871428571,0.3286,0.3092,0.0285714286,0.2178723404,-0.333333333333333,0.5,0.4,21789624.761831,0
G,-2.1610291410822,-1.13987663152159,95,-0.169721137,-0.0793733519,62,23,4.1935483871,0.3353571429,0.2623214286,0.2258064516,0.2383333333,0.096774193548387,0.5,0.3,121642188.380933,5
H,-1.75035047425261,0.266483118877442,10,-0.470527033,-0.4397228576,79,22,6.5601265823,0.2722972973,0.3047297297,0.4936708861,0.2325675676,-0.766233766233766,1.1,0.4,126206206.086886,30
I,-0.843139507680584,0.711826978356831,95,-0.853688634,-0.8132727202,69,25,5.502173913,0.3273015873,0.2980952381,0.3333333333,0.2405,-0.304347826086957,0.5,0.2,6415105.346902,50
K,-0.11379430161424,-1.13027237003504,90,-0.577645747,-0.5615095885,111,20,4.2373873874,0.3739622642,0.2682075472,0.6576576577,0.2225263158,-0.247706422018349,0.5,0.1,137250904.106696,20
L,0.023092189467899,-0.041309318309778,60,-1.403696664,-1.4036735598,132,25,4.9727272727,0.3845736434,0.2752713178,0.4696969697,0.2365079365,-0.190839694656489,1,0.1,15915981.285624,10
N,-0.435318063285502,-0.372276672277869,0,-0.950689331,-0.9105906413,84,24,6.6291666667,0.2784848485,0.3977272727,0.2857142857,0.2272727273,-0.349397590361446,0.5,0.3,23173568.8281,5
O,1.82835218816,1.54482534600867,10,-1.005006865,-0.8882338263,153,21,6.1275816993,0.31046875,0.3015625,0.2941176471,0.2349206349,-0.411764705882353,1.5,0.1,185905031.555696,45
P,3.37217782819135,-1.67080848311984,70,-0.043795912,-0.0183800111,129,18,4.9751937984,0.3316935484,0.2540322581,0.3178294574,0.2272033898,-0.302325581395349,0.5,0.1,171703367.265561,12.5
Q,-0.236488130285978,3.07534325002327,0,-0.313731911,-0.2870239301,82,22,5.6792682927,0.312,0.2725,0.6097560976,0.2487671233,-0.48780487804878,1.1,0.8,43117102.136885,75
R,3.19799825532968,0.777853466462311,20,-1.625495144,-1.5911323905,167,34,5.8383233533,0.302195122,0.2775609756,0.9041916168,0.2434756098,-0.47239263803681,0.5,0.1,32735648.069393,55
S,1.97756740708819,-1.61343961951241,70,-0.204483143,-0.1994484606,76,16,5.2236842105,0.3176119403,0.2571641791,0.3947368421,0.2312903226,-0.421052631578947,0.5,0.3,157072030.810418,0
T,0.400776943687842,-0.591021877732271,20,-0.014200841,0.0474870013,95,27,4.8173684211,0.3043181818,0.2802272727,0.3263157895,0.2396052632,-0.075268817204301,1.5,0.1,176840073.016906,20
